name,country,greater-region,coordinates,spotIDs,telegram-link
Delaware,US,Delaware,"[{""point1"": ""38.83072187825255,-75.21775105625208"", ""point2"": ""38.444554426013106,-74.94997276401818""}]","[{""name"": ""The Cove -  Delaware"", ""ID"": 205}, {""name"": ""Tower Road"", ""ID"": 451}, {""name"": ""Dewey Beach"", ""ID"": 1151}, {""name"": ""Rehoboth - Main"", ""ID"": 1484}, {""name"": ""Indian River Inlet"", ""ID"": 3451}, {""name"": ""Fenwick Island"", ""ID"": 5220}, {""name"": ""Naval Jetty"", ""ID"": 6168}, {""name"": ""Bethany Hollywood St"", ""ID"": 7212}]",https://t.me/+LAYxZt5Cub5hZGYx
Cape May County,US,New Jersey,"[{""point1"": ""39.300341, -74.540275"", ""point2"": ""38.898525, -75.044842""}]","[{""name"": ""Second Street"", ""ID"": 147}, {""name"": ""Avalon - 15th Street"", ""ID"": 322}, {""name"": ""Diamond Beach"", ""ID"": 508}, {""name"": ""Chodes"", ""ID"": 1366}, {""name"": ""36th Street"", ""ID"": 2908}, {""name"": ""Waverly"", ""ID"": 4580}, {""name"": ""57th Street"", ""ID"": 4665}, {""name"": ""Strathmere, 7th street"", ""ID"": 4748}, {""name"": ""The Cove, Cape May"", ""ID"": 5122}, {""name"": ""Ocean City - 8th Street"", ""ID"": 5577}, {""name"": ""Poverty Beach"", ""ID"": 5894}, {""name"": ""North Wildwood"", ""ID"": 5910}, {""name"": ""North St."", ""ID"": 6375}, {""name"": ""St Phillip's"", ""ID"": 6454}, {""name"": ""Stone Harbor 110"", ""ID"": 6595}, {""name"": ""Wildwood 2nd Street"", ""ID"": 7096}, {""name"": ""Nuns beach"", ""ID"": 7160}, {""name"": ""Avalon - 30th Street"", ""ID"": 7190}, {""name"": ""Trestles"", ""ID"": 8071}, {""name"": ""Ocean City - 14th 15th St"", ""ID"": 8377}, {""name"": ""Ocean City - 7th Street"", ""ID"": 8841}]",https://t.me/+eQRx48_cJx8xNTQx
Atlantic County,US,New Jersey,"[{""point1"": ""39.484397, -74.287262"", ""point2"": ""39.301441, -74.565600""}]","[{""name"": ""38th St. Beach"", ""ID"": 287}, {""name"": ""Great Egg Harbor Inlet (Longport)"", ""ID"": 777}, {""name"": ""Margate Pier"", ""ID"": 952}, {""name"": ""Flukies"", ""ID"": 998}, {""name"": ""The Jetty"", ""ID"": 1253}, {""name"": ""Dutches Wedge"", ""ID"": 2436}, {""name"": ""Ventnor Pier"", ""ID"": 5261}, {""name"": ""Crystals"", ""ID"": 5902}, {""name"": ""TwentySevens"", ""ID"": 7605}, {""name"": ""Castles"", ""ID"": 7798}]",https://t.me/+WAIQnNe1BUQ3MDcx
Ocean County,US,New Jersey,"[{""point1"": ""40.101767, -74.029390"", ""point2"": ""39.491509, -74.369498""}]","[{""name"": ""L.B.I - 82st"", ""ID"": 105}, {""name"": ""Cape May Ave."", ""ID"": 234}, {""name"": ""Seacrest Drive"", ""ID"": 1237}, {""name"": ""Wooden Jetty"", ""ID"": 1741}, {""name"": ""Tices Sholls"", ""ID"": 2706}, {""name"": ""5th Street Beach Haven"", ""ID"": 3484}, {""name"": ""LBI - Long Beach Island"", ""ID"": 3788}, {""name"": ""Lavallette"", ""ID"": 4738}, {""name"": ""Middlesex "", ""ID"": 4934}, {""name"": ""Normandy Beach - 7th Street"", ""ID"": 5174}, {""name"": ""Brick Beach 2"", ""ID"": 6133}, {""name"": ""Seaside Park"", ""ID"": 6164}, {""name"": ""58th Street"", ""ID"": 6355}, {""name"": ""Bay Head"", ""ID"": 6388}, {""name"": ""Harvey Cedars - 7 E. Cape May Street"", ""ID"": 6883}, {""name"": ""Seaside Park, NJ"", ""ID"": 8346}]",https://t.me/+7_Q0uvoDd5E5ODI5
Monmouth County,US,New Jersey,"[{""point1"": ""40.504112, -74.056815"", ""point2"": ""40.099588, -73.930794""}]","[{""name"": ""Sands"", ""ID"": 258}, {""name"": ""The Box"", ""ID"": 790}, {""name"": ""Loch Arbor,Darlington,Deal"", ""ID"": 1292}, {""name"": ""Loch Arbor"", ""ID"": 1937}, {""name"": ""Manasquan Inlet"", ""ID"": 2582}, {""name"": ""Pavilion Ave, Long Branch"", ""ID"": 3500}, {""name"": ""Phillips Pump House"", ""ID"": 3746}, {""name"": ""Belmar - 16 th Street"", ""ID"": 5195}, {""name"": ""Allenhurst"", ""ID"": 5289}, {""name"": ""Sandy Hook The Cove"", ""ID"": 6445}, {""name"": ""Ocean Lane, Deal"", ""ID"": 6917}, {""name"": ""Bradley Beach"", ""ID"": 8387}, {""name"": ""Asbury Park"", ""ID"": 8916}]",https://t.me/+LgE7xBs90RpkZDRh
Ocean City,US,Maryland,"[{""point1"": ""38.4355190346571, -74.96719420792391"", ""point2"": ""37.53847936471056, -75.79837532681579""}]","[{""name"": ""Ocean City"", ""ID"": 916}, {""name"": ""48th Street (Ocean City)"", ""ID"": 938}, {""name"": ""Assateague"", ""ID"": 2400}, {""name"": ""Wedge"", ""ID"": 7328}, {""name"": ""Out Front"", ""ID"": 8883}]",https://t.me/+QB0rPBF4jXk0MjNh
Outer Banks,US,North Carolina,"[{""point1"": ""34.89133743396021, -75.07686497482119"", ""point2"": ""36.18754480482559, -76.3841723297272""}]","[{""name"": ""Hatteras Light House"", ""ID"": 811}, {""name"": ""Nags Head"", ""ID"": 1126}, {""name"": ""New New Inlet"", ""ID"": 2033}, {""name"": ""Rhodanthe Pier"", ""ID"": 3859}, {""name"": ""S-Turns"", ""ID"": 5144}, {""name"": ""Chicahauk"", ""ID"": 5877}, {""name"": ""Outer Banks Beach Club"", ""ID"": 5941}, {""name"": ""Frisco Pier"", ""ID"": 7459}, {""name"": ""Boiler"", ""ID"": 7706}, {""name"": ""Kitty Hawk Pier"", ""ID"": 8444}]",https://t.me/+ZHhjABLVY904NzUx
Virginia Beach,US,Virginia,"[{""point1"": ""37.430377954374926, -76.43792294918732"", ""point2"": ""36.55289257049342, -75.64694707058872""}]","[{""name"": ""Damneck Naval Base"", ""ID"": 609}, {""name"": ""42nd St. VA Beach"", ""ID"": 1480}, {""name"": ""Sandbridge"", ""ID"": 3594}, {""name"": ""1st Street Jetty"", ""ID"": 4119}, {""name"": ""Fishermans Island"", ""ID"": 5856}, {""name"": ""81st Street"", ""ID"": 8356}, {""name"": ""The North End"", ""ID"": 8629}, {""name"": ""Grandview"", ""ID"": 8724}, {""name"": ""Virginia Beach"", ""ID"": 9209}]",https://t.me/+q-bvjm8xIOVhZjRh
Morehead City Region,US,North Carolina,"[{""point1"": ""34.489353451588386, -77.41652516498336"", ""point2"": ""34.81921516253886, -76.36738354823106""}]","[{""name"": ""Emerald Isle"", ""ID"": 579}, {""name"": ""cape lookout"", ""ID"": 1470}, {""name"": ""Atlantic Beach"", ""ID"": 5940}, {""name"": ""Shackleford Banks"", ""ID"": 6157}, {""name"": ""Onslow Beach"", ""ID"": 6615}]",https://t.me/+om_7q83ulQ5hZTNh
Wilmington,US,North Carolina,"[{""point1"": ""34.49297553203268, -77.42922520626242"", ""point2"": ""33.74032898141291, -78.08287888371542""}]","[{""name"": ""Beauregard"", ""ID"": 108}, {""name"": ""Carolina Beach"", ""ID"": 1026}, {""name"": ""Surf City Pier"", ""ID"": 4086}, {""name"": ""Wrightsville beach"", ""ID"": 4221}, {""name"": ""Mason's Inlet"", ""ID"": 5097}, {""name"": ""Fort Fisher"", ""ID"": 5595}, {""name"": ""Shit Pipe"", ""ID"": 8774}, {""name"": ""Bald Head Island- Point"", ""ID"": 8959}]",https://t.me/+T-Ojtw7cdwgxYmJh
