type,name,latitude,longitude,country,region,sub_region,description,forecast,telegram_link
Surf Spot,Trolley's,-43.50263962,172.7317661,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-43.50263962,172.7317661,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-43.50263962,172.7317661,15""}]",
Surf Spot,Los Botes,-34.66241383,-54.17576194,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-34.66241383,-54.17576194,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-34.66241383,-54.17576194,15""}]",
Surf Spot,El Burro,28.68703001,-13.83000612,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@28.68703001,-13.83000612,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,28.68703001,-13.83000612,15""}]",
Surf Spot,Midigama Right,5.96357684,80.38374424,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@5.96357684,80.38374424,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,5.96357684,80.38374424,15""}]",
Surf Spot,outer,-34.47795037,150.9159708,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-34.47795037,150.9159708,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-34.47795037,150.9159708,15""}]",
Surf Spot,Victoria bay,-34.0078021,22.55002856,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-34.0078021,22.55002856,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-34.0078021,22.55002856,15""}]",
Surf Spot,La Ocho,18.46880221,-66.09211922,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@18.46880221,-66.09211922,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,18.46880221,-66.09211922,15""}]",
Surf Spot,Voulisma,35.12519326,25.74311692,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@35.12519326,25.74311692,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,35.12519326,25.74311692,15""}]",
Surf Spot,Voelklip,-34.41268082,19.2790103,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-34.41268082,19.2790103,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-34.41268082,19.2790103,15""}]",
Surf Spot,Nida,55.30701712,20.97666621,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@55.30701712,20.97666621,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,55.30701712,20.97666621,15""}]",
Surf Spot,Yzerfontein,-33.34607061,18.14676404,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-33.34607061,18.14676404,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-33.34607061,18.14676404,15""}]",
Surf Spot,Boca del Abajo,29.120824,-13.660126,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@29.120824,-13.660126,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,29.120824,-13.660126,15""}]",
Surf Spot,Praia do amado,37.16664353,-8.90446186,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@37.16664353,-8.90446186,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,37.16664353,-8.90446186,15""}]",
Surf Spot,Arawahata Road ,-39.41975118,173.80169392,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-39.41975118,173.80169392,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-39.41975118,173.80169392,15""}]",
Surf Spot,Deba,43.30369474,-2.35313416,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@43.30369474,-2.35313416,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,43.30369474,-2.35313416,15""}]",
