name,country,greater-region,coordinates,telegram-link
Delaware,US,Delaware,"[{""point1"": ""38.83072187825255,-75.21775105625208"", ""point2"": ""38.444554426013106,-74.94997276401818""}]",https://t.me/+LAYxZt5Cub5hZGYx
Cape May County,US,New Jersey,"[{""point1"": ""39.300341, -74.540275"", ""point2"": ""38.898525, -75.044842""}]",https://t.me/+eQRx48_cJx8xNTQx
Atlantic County,US,New Jersey,"[{""point1"": ""39.484397, -74.287262"", ""point2"": ""39.301441, -74.565600""}]",https://t.me/+WAIQnNe1BUQ3MDcx
Ocean County,US,New Jersey,"[{""point1"": ""40.101767, -74.029390"", ""point2"": ""39.491509, -74.369498""}]",https://t.me/+7_Q0uvoDd5E5ODI5
Monmouth County,US,New Jersey,"[{""point1"": ""40.504112, -74.056815"", ""point2"": ""40.099588, -73.930794""}]",https://t.me/+LgE7xBs90RpkZDRh
Ocean City,US,Maryland,"[{""point1"": ""38.4355190346571, -74.96719420792391"", ""point2"": ""37.53847936471056, -75.79837532681579""}]",https://t.me/+QB0rPBF4jXk0MjNh
Outer Banks,US,North Carolina,"[{""point1"": ""34.89133743396021, -75.07686497482119"", ""point2"": ""36.18754480482559, -76.3841723297272""}]",https://t.me/+ZHhjABLVY904NzUx
Virginia Beach,US,Virginia,"[{""point1"": ""37.430377954374926, -76.43792294918732"", ""point2"": ""36.55289257049342, -75.64694707058872""}]",https://t.me/+q-bvjm8xIOVhZjRh
Morehead City Region,US,North Carolina,"[{""point1"": ""34.489353451588386, -77.41652516498336"", ""point2"": ""34.81921516253886, -76.36738354823106""}]",https://t.me/+om_7q83ulQ5hZTNh
Wilmington,US,North Carolina,"[{""point1"": ""34.49297553203268, -77.42922520626242"", ""point2"": ""33.74032898141291, -78.08287888371542""}]",https://t.me/+T-Ojtw7cdwgxYmJh
North Myrtle Beach,US,North Carolina,"[{""point1"": ""33.774581494353775, -78.67611134469772"", ""point2"": ""33.96842029232533, -78.21745519287143""}]",https://t.me/+xw2xI3B0pc4zZTEx
Myrtle Beach Region,US,North Carolina,"[{""point1"": ""33.83300743880445, -78.71291188373336"", ""point2"": ""33.26073818900188, -79.2567078002699""}]",https://t.me/+A4hSt323UPVhNzIx
Charleston Region,US,North Carolina,"[{""point1"": ""32.398979702322606, -80.39265710573952"", ""point2"": ""32.97456887879569, -79.53302012656813""}]",https://t.me/+nw6vAPwVeu1mNjlh
Georgia,US,Georgia,"[{""point1"": ""30.89468323825093, -81.61027185387309"", ""point2"": ""32.12166227887312, -80.66000222194562""}]",https://t.me/+oTXnxsb_-h41MTY5
Jacksonville Beaches,US,Florida,"[{""point1"": ""30.531747492297548, -81.51757161127387"", ""point2"": ""30.064815419093364, -81.25006798020523""}]",https://t.me/+JWqe4mj6lFY4YzVh
Saint Augustine Beaches,US,Florida,"[{""point1"": ""30.064815419093364, -81.4436922838205"", ""point2"": ""29.674570685748087, -81.17749477498305""}]",https://t.me/+juTkvWADv4NhZDkx
Daytona Beaches,US,Florida,"[{""point1"": ""29.592804353897886, -81.2808243767478"", ""point2"": ""28.566190583068575, -80.4790131227872""}]",https://t.me/+T4ujycUBNopmZGFh
Space Coast,US,Florida,"[{""point1"": ""28.489936361901, -80.8195427858522"", ""point2"": ""27.751121516469166, -80.2592682051782""}]",https://t.me/+fhgGcFWVMEFhZjIx
Fernandina Beaches,US,Florida,"[{""point1"": ""30.81404392276522, -81.55266864299831"", ""point2"": ""30.57432180969945, -81.3631640054174""}]",https://t.me/+FxHbZK-VECc3ZGI5
Lower Long Island,US,New York,"[{""point1"": ""40.69771530668085, -73.0439258291523"", ""point2"": ""40.530919114334395, -73.89806992027786""}]",https://t.me/+2NFir8C3YU4yYTZh
Nantucket,US,Massachusetts,"[{""point1"": ""41.14101921391212, -70.40457585980568"", ""point2"": ""41.41142362913153, -69.93218748786485""}]",https://t.me/+uUnOt6A9MoRhYWQx
Rhode Island,US,Rhode Island,"[{""point1"": ""41.20138959680921, -71.95686601317395"", ""point2"": ""41.570251664197485, -70.98187838504025""}]",https://t.me/+d7NhAIwCSMgwODc5
Upper Long Island,US,New York,"[{""point1"": ""40.64146807388128, -72.98585539437249"", ""point2"": ""41.184028462521205, -71.49815349975218""}]",https://t.me/+DHnpxwidsJI0ZjIx
Cape Cod,US,Massachusetts,"[{""point1"": ""41.55052253461627, -69.81950512829862"", ""point2"": ""42.12145103556696, -70.24520395184996""}]",https://t.me/+Mvxd-KXQGQgyNDcx
Boston Region,US,Massachusetts,"[{""point1"": ""42.01542773937135, -70.46601822673097"", ""point2"": ""42.69333769921498, -70.96037815085509""}]",https://t.me/+QRjwpK7xsvM2MjVh
New Hampshire,US,New Hampshire,"[{""point1"": ""42.750239252560256, -70.6725864027376"", ""point2"": ""43.060058677854514, -70.908780588708""}]",https://t.me/+bBxR-Ng5KCc5ZDA5
Maine,US,Maine,"[{""point1"": ""43.157910300946064, -70.69430214417991"", ""point2"": ""43.88284919148849, -69.50783832628203""}]",https://t.me/+BL1GOrZmSkxjYjEx
South Florida,US,Florida,"[{""point1"": ""26.489257210060465, -80.18292542956097"", ""point2"": ""25.690048032075477, -79.97968857186551""}]",https://t.me/+vNfFDS3EHcJiMDFh
West Palm Beach Region,US,Florida,"[{""point1"": ""27.529219582707853, -80.40371991505613"", ""point2"": ""26.522438593851135, -79.98637910695756""}]",https://t.me/+odOSc3Gz5NYwMzMx
Bay Side Florida,US,Florida,"[{""point1"": ""28.399131852607947, -83.33228309349495"", ""point2"": ""25.492867628161438, -81.22301408389872""}]",https://t.me/+u5R5WAACLT9iZjlh
Pan Handle,US,Florida,"[{""point1"": ""28.34693271491737, -91.05634910019573"", ""point2"": ""30.94369363444362, -84.33305413210768""}]",https://t.me/+IMkwnc7TvaAyYTQx
