Type,Name,Location,Latitude,Longitude,Country,Region,Sub-Region,Forecast 1,Forecast 2,Forecast 3,Forecast 4,Description
Surf Spot,Sandy Hook,"40.432074, -73.983489",40.432074,-73.983489,US,New Jersey,Monmouth County,"Surfline, https://www.surfline.com/surf-report/sandy-hook/5842041f4e65fad6a7708a05","Windy, https://www.windy.com/-Waves-waves?waves,40.432074,-73.983489,10",,,
Surf Spot,Monmouth Beach,"40.330569, -73.974514",40.330569,-73.974514,US,New Jersey,Monmouth County,"Surfline, https://www.surfline.com/surf-report/monmouth-beach/5842041f4e65fad6a7708853?camId=62f65ab49c2cbd686f91ff1c ","Windy, https://www.windy.com/-Waves-waves?waves,40.330569,-73.974514,10",,,
Surf Spot,Long Branch,"40.309714, -73.977118",40.309714,-73.977118,US,New Jersey,Monmouth County,"Surfline, https://www.surfline.com/surf-report/long-branch/630d04654da1381c5cb8aeb7","Windy, https://www.windy.com/-Waves-waves?waves,40.309714,-73.977118,10",,,
Surf Spot,Deal,"40.243389, -73.993401",40.243389,-73.993401,US,New Jersey,Monmouth County,"Surfline, https://www.surfline.com/surf-report/deal/61d74f61620dd7a6afb318bc","Windy, https://www.windy.com/-Waves-waves?waves,40.243389,-73.993401,10",,,
Surf Spot,Loch Arbor,"40.232259, -73.996702",40.232259,-73.996702,US,New Jersey,Monmouth County,"Surfline, https://www.surfline.com/surf-report/loch-arbour-and-deal/5842041f4e65fad6a7708a03","Windy, https://www.windy.com/-Waves-waves?waves,40.232259,-73.996702,10",,,
Surf Spot,Dog Park,"40.226999, -73.996894",40.226999,-73.996894,US,New Jersey,Monmouth County,"Surfline, https://www.surfline.com/surf-report/dog-park/61d8c39b59bcde1454c75b7a","Windy, https://www.windy.com/-Waves-waves?waves,40.226999,-73.996894,10",,,
Surf Spot,Boardwalk,"40.223483, -73.997735",40.223483,-73.997735,US,New Jersey,Monmouth County,"Surfline, https://www.surfline.com/surf-report/boardwalk/61dcad87d8d80f5add72df95","Windy, https://www.windy.com/-Waves-waves?waves,40.223483,-73.997735,10",,,
Surf Spot,Asbury Park,"40.217962, -73.999998",40.217962,-73.999998,US,New Jersey,Monmouth County,"Surfline, https://www.surfline.com/surf-report/asbury-park/5842041f4e65fad6a7708a02","Windy, https://www.windy.com/-Waves-waves?waves,40.217962,-73.999998,10",,,
Surf Spot,Casino,"40.216819, -74.000254",40.216819,-74.000254,US,New Jersey,Monmouth County,"Surfline, https://www.surfline.com/surf-report/casino/61d8c5f96a05a5870dc4d0ba","Windy, https://www.windy.com/-Waves-waves?waves,40.216819,-74.000254,10",,,
Surf Spot,Ocean Grove,"40.211497, -74.002419",40.211497,-74.002419,US,New Jersey,Monmouth County,"Surfline, https://www.surfline.com/surf-report/ocean-grove/625611325cd9822674fe5031","Windy, https://www.windy.com/-Waves-waves?waves,40.211497,-74.002419,10",,,
Surf Spot,Bradley Beach,"40.201703, -74.006288",40.201703,-74.006288,US,New Jersey,Monmouth County,"Surfline, https://www.surfline.com/surf-report/bradley-beach/5842041f4e65fad6a77089ff","Windy, https://www.windy.com/-Waves-waves?waves,40.201703,-74.006288,10",,,
Surf Spot,Avon,"40.191909, -74.008405",40.191909,-74.008405,US,New Jersey,Monmouth County,"Surfline, https://www.surfline.com/surf-report/avon/5842041f4e65fad6a77089fe","Windy, https://www.windy.com/-Waves-waves?waves,40.191909,-74.008405,10",,,
Surf Spot,"16th Ave., Belmar","40.172346, -74.015094",40.172346,-74.015094,US,New Jersey,Monmouth County,"Surfline, https://www.surfline.com/surf-report/16th-ave-belmar/5842041f4e65fad6a7708a01","Windy, https://www.windy.com/-Waves-waves?waves,40.172346,-74.015094,10",,,
Surf Spot,Spring Lake,"40.153620, -74.021020",40.153620,-74.021020,US,New Jersey,Monmouth County,"Surfline, https://www.surfline.com/surf-report/spring-lake/5842041f4e65fad6a77089fc","Windy, https://www.windy.com/-Waves-waves?waves,40.153620,-74.021020,10",,,
Surf Spot,Sea Girt,"40.132704, -74.027598",40.132704,-74.027598,US,New Jersey,Monmouth County,"Surfline, https://www.surfline.com/surf-report/sea-girt/5842041f4e65fad6a77089fa","Windy, https://www.windy.com/-Waves-waves?waves,40.132704,-74.027598,10",,,
Surf Spot,Manasquan Inlet,"40.104454, -74.033953",40.104454,-74.033953,US,New Jersey,Monmouth County,"Surfline, https://www.surfline.com/surf-report/manasquan-inlet/5842041f4e65fad6a7708856?camId=58a3754bea714bf7668c0006","Windy, https://www.windy.com/-Waves-waves?waves,40.104454,-74.033953,10",,,
Surf Spot,Jenkinson's,"40.093077, -74.035871",40.093077,-74.035871,US,New Jersey,Ocean County,"Surfline, https://www.surfline.com/surf-report/jenkinson-s/5842041f4e65fad6a7708a18","Windy, https://www.windy.com/-Waves-waves?waves,40.093077,-74.035871,10",,,
Surf Spot,Bay Head,"40.078991, -74.040024",40.078991,-74.040024,US,New Jersey,Ocean County,"Surfline, https://www.surfline.com/surf-report/bay-head/5842041f4e65fad6a7708a17","Windy, https://www.windy.com/-Waves-waves?waves,40.078991,-74.040024,10",,,
Surf Spot,Mantoloking,"40.036845, -74.049427",40.036845,-74.049427,US,New Jersey,Ocean County,"Surfline, https://www.surfline.com/surf-report/mantoloking/5842041f4e65fad6a7708bed","Windy, https://www.windy.com/-Waves-waves?waves,40.036845,-74.049427,10",,,
Surf Spot,Lavalette,"39.970490, -74.065297",39.970490,-74.065297,US,New Jersey,Ocean County,"Surfline, https://www.surfline.com/surf-report/lavallette/5842041f4e65fad6a7708a16","Windy, https://www.windy.com/-Waves-waves?waves,39.970490,-74.065297,10",,,
Surf Spot,Ortley Beach,"39.957585, -74.067686",39.957585,-74.067686,US,New Jersey,Ocean County,"Surfline, https://www.surfline.com/surf-report/ortley-beach/5842041f4e65fad6a7708a15","Windy, https://www.windy.com/-Waves-waves?waves,39.957585,-74.067686,10",,,
Surf Spot,Casino Pier,"39.941544, -74.069481",39.941544,-74.069481,US,New Jersey,Ocean County,"Surfline, https://www.surfline.com/surf-report/casino-pier/5842041f4e65fad6a7708857","Windy, https://www.windy.com/-Waves-waves?waves,39.941544,-74.069481,10",,,
Surf Spot,Seaside Park,"39.918085, -74.075096",39.918085,-74.075096,US,New Jersey,Ocean County,"Surfline, https://www.surfline.com/surf-report/seaside-park/5842041f4e65fad6a7708a12","Windy, https://www.windy.com/-Waves-waves?waves,39.918085,-74.075096,10",,,
Surf Spot,Island Beach State Park,"39.828828, -74.088647",39.828828,-74.088647,US,New Jersey,Ocean County,"Surfline, https://www.surfline.com/surf-report/island-beach-state-park/5842041f4e65fad6a7708a11","Windy, https://www.windy.com/-Waves-waves?waves,39.828828,-74.088647,10",,,
Surf Spot,Barnegat Light,"39.755810, -74.101919",39.755810,-74.101919,US,New Jersey,Ocean County,"Surfline, https://www.surfline.com/surf-report/barnegat-light/640a445fb6d7693e975266df","Windy, https://www.windy.com/-Waves-waves?waves,39.755810,-74.101919,10",,,
Surf Spot,Hudson Ave.,"39.697486, -74.137405",39.697486,-74.137405,US,New Jersey,Ocean County,"Surfline, https://www.surfline.com/surf-report/hudson-ave-/5842041f4e65fad6a7708a10","Windy, https://www.windy.com/-Waves-waves?waves,39.697486,-74.137405,10",,,
